Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Open Access,Source,EID
"Suvorov V.A., Bahrami M.R., Akchurin E.E., Chukalkin I.A., Ermakov S.A., Kan S.A.","57214156053;57197731584;57225127827;57225126888;57225125898;57225127058;","Anti sway tuned control of gantry cranes",2021,"SN Applied Sciences","3","8","729","","",,,"10.1007/s42452-021-04719-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109210301&doi=10.1007%2fs42452-021-04719-w&partnerID=40&md5=6c5dd2c70543b37c0a8009b29b8c0240","Department of Mechanics and Control, Peter the Great St.Petersburg Polytechnic University, St.Petersburg, 195251, Russian Federation; Troitsk Crane Plant, Moscow, 108828, Russian Federation; Faculty of Computer Science and Engineering, Innopolis University, Innopolis, 420500, Russian Federation; Higher school of transport, Peter the Great St.Petersburg Polytechnic University, St.Petersburg, 195251, Russian Federation","Suvorov, V.A., Department of Mechanics and Control, Peter the Great St.Petersburg Polytechnic University, St.Petersburg, 195251, Russian Federation, Troitsk Crane Plant, Moscow, 108828, Russian Federation; Bahrami, M.R., Faculty of Computer Science and Engineering, Innopolis University, Innopolis, 420500, Russian Federation; Akchurin, E.E., Troitsk Crane Plant, Moscow, 108828, Russian Federation; Chukalkin, I.A., Troitsk Crane Plant, Moscow, 108828, Russian Federation; Ermakov, S.A., Troitsk Crane Plant, Moscow, 108828, Russian Federation, Higher school of transport, Peter the Great St.Petersburg Polytechnic University, St.Petersburg, 195251, Russian Federation; Kan, S.A., Troitsk Crane Plant, Moscow, 108828, Russian Federation",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85109210301
"Tsybina Y., Gordleeva S., Krivonosov M., Kastalskiy I., Zaikin A., Gorban A.","57219974710;55328272900;57200324455;55314345300;7103103296;7005285942;","Modelling working memory in neuron-astrocyte network",2021,"Proceedings of the International Joint Conference on Neural Networks","2021-July",,,"","",,,"10.1109/IJCNN52387.2021.9533307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116451609&doi=10.1109%2fIJCNN52387.2021.9533307&partnerID=40&md5=580ec1ad2a38969cbcf506eeb7124289","Lobachevsky State University of Nizhny Novgorod, Department of Neurotechnology, Nizhny Novgorod, Russian Federation; Neuroscience and Cognitive Technology Lab, Innopolis University, Kazan, Russian Federation; Department of Radiophysical Methods in Medicine, Institute of Applied Physics of Ras, Nizhny Novgorod, Russian Federation; Institute of Information Technologies, Mathematics and Mechanics, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; University College London, London, United Kingdom; University of Leicester, Leicester, United Kingdom","Tsybina, Y., Lobachevsky State University of Nizhny Novgorod, Department of Neurotechnology, Nizhny Novgorod, Russian Federation; Gordleeva, S., Lobachevsky State University of Nizhny Novgorod, Department of Neurotechnology, Nizhny Novgorod, Russian Federation, Neuroscience and Cognitive Technology Lab, Innopolis University, Kazan, Russian Federation; Krivonosov, M., Lobachevsky State University of Nizhny Novgorod, Department of Neurotechnology, Nizhny Novgorod, Russian Federation; Kastalskiy, I., Lobachevsky State University of Nizhny Novgorod, Department of Neurotechnology, Nizhny Novgorod, Russian Federation, Department of Radiophysical Methods in Medicine, Institute of Applied Physics of Ras, Nizhny Novgorod, Russian Federation; Zaikin, A., Institute of Information Technologies, Mathematics and Mechanics, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation, University College London, London, United Kingdom; Gorban, A., Lobachevsky State University of Nizhny Novgorod, Department of Neurotechnology, Nizhny Novgorod, Russian Federation, University of Leicester, Leicester, United Kingdom",Conference Paper,"Final","",Scopus,2-s2.0-85116451609
"Khafizov R., Savin S.","57282614900;55978984900;","Length-constrained mixed-integer convex programming-based generation of tensegrity structures",2021,"2021 6th IEEE International Conference on Advanced Robotics and Mechatronics, ICARM 2021",,,,"125","131",,1,"10.1109/ICARM52023.2021.9536138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116262986&doi=10.1109%2fICARM52023.2021.9536138&partnerID=40&md5=e818951cfd07faac718be4f95a5351d7","The Institute of Robotics, Innopolis University, Innopolis, 420500, Russian Federation","Khafizov, R., The Institute of Robotics, Innopolis University, Innopolis, 420500, Russian Federation; Savin, S., The Institute of Robotics, Innopolis University, Innopolis, 420500, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85116262986
"Ortega R., Bobtsov A., Nikolaev N., Schiffer J., Dochain D.","7202793493;8046819200;13105019100;55605196900;7004923382;","Generalized parameter estimation-based observers: Application to power systems and chemical–biological reactors",2021,"Automatica","129",,"109635","","",,10,"10.1016/j.automatica.2021.109635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104330214&doi=10.1016%2fj.automatica.2021.109635&partnerID=40&md5=ff50dccb7f9b6a9bc50f63648ceecd04","Departamento Académico de Sistemas Digitales, ITAM, Ciudad de México, Mexico; Department of Control Systems and Robotics, ITMO University, Kronverkskiy av. 49, Saint Petersburg197101, Russian Federation; Fachgebiet Regelungssysteme und Netzleitechnik, Brandenburgische Technische Universität Cottbus, Senftenberg, Germany; CESAME, Université Catholique de Louvain (UCL), Avenue Georges Lemaître, 4, Louvain-la-Neuve, B 1348, Belgium; Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 1, Universitetskaya Str., Innopolis, Innopolis, 420500, Russian Federation","Ortega, R., Departamento Académico de Sistemas Digitales, ITAM, Ciudad de México, Mexico, Department of Control Systems and Robotics, ITMO University, Kronverkskiy av. 49, Saint Petersburg197101, Russian Federation; Bobtsov, A., Department of Control Systems and Robotics, ITMO University, Kronverkskiy av. 49, Saint Petersburg197101, Russian Federation, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 1, Universitetskaya Str., Innopolis, Innopolis, 420500, Russian Federation; Nikolaev, N., Department of Control Systems and Robotics, ITMO University, Kronverkskiy av. 49, Saint Petersburg197101, Russian Federation; Schiffer, J., Fachgebiet Regelungssysteme und Netzleitechnik, Brandenburgische Technische Universität Cottbus, Senftenberg, Germany; Dochain, D., CESAME, Université Catholique de Louvain (UCL), Avenue Georges Lemaître, 4, Louvain-la-Neuve, B 1348, Belgium",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85104330214
"Hramov A.E., Maksimenko V.A., Pisarchik A.N.","6603156741;56572360300;7005864666;","Physical principles of brain–computer interfaces and their applications for rehabilitation, robotics and control of human brain states",2021,"Physics Reports","918",,,"1","133",,20,"10.1016/j.physrep.2021.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103968577&doi=10.1016%2fj.physrep.2021.03.002&partnerID=40&md5=00a8ff5f2f2b74d4ee448c2e6e0723b4","Laboratory of Neuroscience and Cognitive Technology, Innopolis University, Universitetskaya Str. 1, Innopolis, Republic of Tatarstan  420500, Russian Federation; Immanuel Kant Baltic Federal University, A. Nevskogo Str. 14, Kaliningrad, 236016, Russian Federation; Saratov State Medical University, Bolshaya Kazachia Str. 112, Saratov, 410012, Russian Federation; Center for Biomedical Technology, Universidad Politécnica de Madrid, Campus Montegancedo, Pozuelo de Alarcón, 28223, Spain","Hramov, A.E., Laboratory of Neuroscience and Cognitive Technology, Innopolis University, Universitetskaya Str. 1, Innopolis, Republic of Tatarstan  420500, Russian Federation, Immanuel Kant Baltic Federal University, A. Nevskogo Str. 14, Kaliningrad, 236016, Russian Federation, Saratov State Medical University, Bolshaya Kazachia Str. 112, Saratov, 410012, Russian Federation; Maksimenko, V.A., Laboratory of Neuroscience and Cognitive Technology, Innopolis University, Universitetskaya Str. 1, Innopolis, Republic of Tatarstan  420500, Russian Federation, Saratov State Medical University, Bolshaya Kazachia Str. 112, Saratov, 410012, Russian Federation; Pisarchik, A.N., Laboratory of Neuroscience and Cognitive Technology, Innopolis University, Universitetskaya Str. 1, Innopolis, Republic of Tatarstan  420500, Russian Federation, Center for Biomedical Technology, Universidad Politécnica de Madrid, Campus Montegancedo, Pozuelo de Alarcón, 28223, Spain",Review,"Final","",Scopus,2-s2.0-85103968577
"Kabir M.S., Ndukwe I.K., Awan E.Z.S.","57261452900;57261896900;57215306478;","Deep Learning Inspired Vision based Frameworks for Drone Detection",2021,"3rd International Conference on Electrical, Communication and Computer Engineering, ICECCE 2021",,,,"","",,,"10.1109/ICECCE52056.2021.9514124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115062215&doi=10.1109%2fICECCE52056.2021.9514124&partnerID=40&md5=3cf17f66190f9c86745bfaf6f4c60e7c","Innopolis University, Dept. of Robotics and Computer Vision, Innopolis, Russian Federation; Uet, Taxila, Dept. of Electrical Engineering, Taxila, Pakistan","Kabir, M.S., Innopolis University, Dept. of Robotics and Computer Vision, Innopolis, Russian Federation; Ndukwe, I.K., Innopolis University, Dept. of Robotics and Computer Vision, Innopolis, Russian Federation; Awan, E.Z.S., Uet, Taxila, Dept. of Electrical Engineering, Taxila, Pakistan",Conference Paper,"Final","",Scopus,2-s2.0-85115062215
"Ali M.H., Kabir M.S.","57262044200;57261452900;","Design and Development of an Unmanned Ground Vehicle with Serial Manipulator and its Control Mechanism",2021,"3rd International Conference on Electrical, Communication and Computer Engineering, ICECCE 2021",,,,"","",,1,"10.1109/ICECCE52056.2021.9514228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115055980&doi=10.1109%2fICECCE52056.2021.9514228&partnerID=40&md5=19e685f7335feeccfe6b1811aa1ce045","Skolkovo Institute of Science and Technology, Department of Energy System, Moscow, Russian Federation; Innopolis University, Department of Robotics, Innopolis, Russian Federation","Ali, M.H., Skolkovo Institute of Science and Technology, Department of Energy System, Moscow, Russian Federation; Kabir, M.S., Innopolis University, Department of Robotics, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85115055980
"Ahmad M., Mazzara M., Distefano S.","55232255600;8557895400;17433851100;","Regularized cnn feature hierarchy for hyperspectral image classification",2021,"Remote Sensing","13","12","2275","","",,5,"10.3390/rs13122275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108458738&doi=10.3390%2frs13122275&partnerID=40&md5=a14e018d9fade9109229a14db6487238","Department of Computer Science, Chiniot-Faisalabad Campus, National University of Computer and Emerging Sciences, Islamabad, Chiniot, 35400, Pakistan; Dipartimento di Matematica e Informatica-MIFT, University of Messina, Messina, 98121, Italy; Institute of Software Development and Engineering, Innopolis University, Innopolis, 420500, Russian Federation","Ahmad, M., Department of Computer Science, Chiniot-Faisalabad Campus, National University of Computer and Emerging Sciences, Islamabad, Chiniot, 35400, Pakistan, Dipartimento di Matematica e Informatica-MIFT, University of Messina, Messina, 98121, Italy; Mazzara, M., Institute of Software Development and Engineering, Innopolis University, Innopolis, 420500, Russian Federation; Distefano, S., Dipartimento di Matematica e Informatica-MIFT, University of Messina, Messina, 98121, Italy",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108458738
"Nour B., Khelifi H., Hussain R., Mastorakis S., Moungla H.","57195226408;57188689712;35324500900;56879181900;13408921700;","Access Control Mechanisms in Named Data Networks",2021,"ACM Computing Surveys","54","3","3442150","","",,3,"10.1145/3442150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108068061&doi=10.1145%2f3442150&partnerID=40&md5=ba47ed65cc28f8730392f6bcf572162c","Beijing Institute of Technology, Beijing, China; Innopolis University, Innopolis, Russian Federation; University of Nebraska Omaha, Omaha, United States; Université de Paris, Evry, France","Nour, B., Beijing Institute of Technology, Beijing, China; Khelifi, H., Beijing Institute of Technology, Beijing, China; Hussain, R., Innopolis University, Innopolis, Russian Federation; Mastorakis, S., University of Nebraska Omaha, Omaha, United States; Moungla, H., Université de Paris, Evry, France",Review,"Final","",Scopus,2-s2.0-85108068061
"Frolov N., Hramov A.","16498801300;6603156741;","Extreme synchronization events in a Kuramoto model: The interplay between resource constraints and explosive transitions",2021,"Chaos","31","6","063103","","",,4,"10.1063/5.0055156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107327084&doi=10.1063%2f5.0055156&partnerID=40&md5=f44b3446f4b6dc4c9f5030f6a4f42360","Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 420500 Innopolis, The Republic of Tatarstan, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuil Kant Baltic Federal University, Kaliningrad, 236041, Russian Federation","Frolov, N., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 420500 Innopolis, The Republic of Tatarstan, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuil Kant Baltic Federal University, Kaliningrad, 236041, Russian Federation; Hramov, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 420500 Innopolis, The Republic of Tatarstan, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuil Kant Baltic Federal University, Kaliningrad, 236041, Russian Federation",Article,"Final","",Scopus,2-s2.0-85107327084
"Loukil F., Boukadi K., Hussain R., Abed M.","57194766780;24400647700;35324500900;7004244673;","Ciosy: A collaborative blockchain-based insurance system",2021,"Electronics (Switzerland)","10","11","1343","","",,2,"10.3390/electronics10111343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107152757&doi=10.3390%2felectronics10111343&partnerID=40&md5=687abc9d2404aa33998e74fb85eaf7ec","Université Polytechnique Hauts-de-France, UMR CNRS 8201, Valenciennes, 59300, France; Miracl Laboratory, Sfax University, Sfax, 3018, Tunisia; Networks and Blockchain Lab, Innopolis University, Innopolis, 420500, Russian Federation; INSA Hauts-de-France, Valenciennes, F-59313, France","Loukil, F., Université Polytechnique Hauts-de-France, UMR CNRS 8201, Valenciennes, 59300, France; Boukadi, K., Miracl Laboratory, Sfax University, Sfax, 3018, Tunisia; Hussain, R., Networks and Blockchain Lab, Innopolis University, Innopolis, 420500, Russian Federation; Abed, M., Université Polytechnique Hauts-de-France, UMR CNRS 8201, Valenciennes, 59300, France, INSA Hauts-de-France, Valenciennes, F-59313, France",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85107152757
"Ghandoura A., Hjabo F., Al Dakkak O.","57223281214;57223272713;24528230500;","Building and benchmarking an Arabic Speech Commands dataset for small-footprint keyword spotting",2021,"Engineering Applications of Artificial Intelligence","102",,"104267","","",,2,"10.1016/j.engappai.2021.104267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105521739&doi=10.1016%2fj.engappai.2021.104267&partnerID=40&md5=90bf21e4d4f62ca2d65528764cca9e04","Syrian Virtual University, Damascus, Syrian Arab Republic; Innopolis University, Innopolis, Russian Federation; Higher Institute for Applied Sciences and Technology, Damascus, Syrian Arab Republic","Ghandoura, A., Syrian Virtual University, Damascus, Syrian Arab Republic; Hjabo, F., Innopolis University, Innopolis, Russian Federation; Al Dakkak, O., Syrian Virtual University, Damascus, Syrian Arab Republic, Higher Institute for Applied Sciences and Technology, Damascus, Syrian Arab Republic",Article,"Final","",Scopus,2-s2.0-85105521739
"Frolov N., Rakshit S., Maksimenko V., Kirsanov D., Ghosh D., Hramov A.","16498801300;57193844653;56572360300;57194146935;56225913500;6603156741;","Coexistence of interdependence and competition in adaptive multilayer network",2021,"Chaos, Solitons and Fractals","147",,"110955","","",,4,"10.1016/j.chaos.2021.110955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105470506&doi=10.1016%2fj.chaos.2021.110955&partnerID=40&md5=37ecbfd05f81cabb7c4eece26c3c8f11","Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, The Republic of Tatarstan  420500, Russian Federation; Physics and Applied Mathematics Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata, 700108, India","Frolov, N., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, The Republic of Tatarstan  420500, Russian Federation; Rakshit, S., Physics and Applied Mathematics Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata, 700108, India; Maksimenko, V., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, The Republic of Tatarstan  420500, Russian Federation; Kirsanov, D., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, The Republic of Tatarstan  420500, Russian Federation; Ghosh, D., Physics and Applied Mathematics Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata, 700108, India; Hramov, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, The Republic of Tatarstan  420500, Russian Federation",Article,"Final","",Scopus,2-s2.0-85105470506
"Suhail S., Hussain R., Khan A., Hong C.S.","55934138000;35324500900;55209201300;56623778200;","Corrigendum to “Orchestrating product provenance story: When IOTA ecosystem meets electronics supply chain space” [Comput. Ind. 123 (December) (2020) 103334] (Computers in Industry (2020) 123, (S0166361520305686), (10.1016/j.compind.2020.103334))",2021,"Computers in Industry","128",,"103392","","",,,"10.1016/j.compind.2020.103392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101927682&doi=10.1016%2fj.compind.2020.103392&partnerID=40&md5=29246b25df20e46503a16321215e8079","Department of Computer Science and Engineering, Kyung Hee University, South Korea; Institute of Information Security and Cyber-Physical Systems, Innopolis University, Russian Federation; Department of Computer Science, Aberystwyth University, United Kingdom","Suhail, S., Department of Computer Science and Engineering, Kyung Hee University, South Korea; Hussain, R., Institute of Information Security and Cyber-Physical Systems, Innopolis University, Russian Federation; Khan, A., Department of Computer Science, Aberystwyth University, United Kingdom; Hong, C.S., Department of Computer Science and Engineering, Kyung Hee University, South Korea",Erratum,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85101927682
"Jankovic J., Ilic Z., Oracevic A., Ahsan Kazmi S.M., Hussain R.","57219565399;7004116952;55229307000;56783838600;35324500900;","Effects of Differentiated 5G Services on Computational and Radio Resource Allocation Performance",2021,"IEEE Transactions on Network and Service Management","18","2","9359672","2226","2241",,2,"10.1109/TNSM.2021.3060865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101765666&doi=10.1109%2fTNSM.2021.3060865&partnerID=40&md5=68395e472910f9c1319db55a2bb3c829","Department of Telecommunications, Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Networks and Blockchain Laboratory, Institute of Information Security and Cyber-Physical Systems, Innopolis University, Innopolis, Russian Federation","Jankovic, J., Department of Telecommunications, Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Ilic, Z., Department of Telecommunications, Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Oracevic, A., Networks and Blockchain Laboratory, Institute of Information Security and Cyber-Physical Systems, Innopolis University, Innopolis, Russian Federation; Ahsan Kazmi, S.M., Networks and Blockchain Laboratory, Institute of Information Security and Cyber-Physical Systems, Innopolis University, Innopolis, Russian Federation; Hussain, R., Networks and Blockchain Laboratory, Institute of Information Security and Cyber-Physical Systems, Innopolis University, Innopolis, Russian Federation",Article,"Final","",Scopus,2-s2.0-85101765666
"Kenfack P.J., Khan A.M., Ahsan Kazmi S.M., Hussain R., Oracevic A., Khattak A.M.","57216861926;16679109100;56783838600;35324500900;55229307000;26031517700;","Impact of Model Ensemble on the Fairness of Classifiers in Machine Learning",2021,"2021 International Conference on Applied Artificial Intelligence, ICAPAI 2021",,,"9462068","","",,,"10.1109/ICAPAI49758.2021.9462068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113818545&doi=10.1109%2fICAPAI49758.2021.9462068&partnerID=40&md5=e8560b04c6ee8b31d6dec92b6b2327a6","Networks and Blockchain Lab, Innopolis University, Innopolis, Russian Federation; Machine Learning and Knowledge Representation Lab, Innopolis University, Innopolis, Russian Federation; College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates","Kenfack, P.J., Networks and Blockchain Lab, Innopolis University, Innopolis, Russian Federation; Khan, A.M., Machine Learning and Knowledge Representation Lab, Innopolis University, Innopolis, Russian Federation; Ahsan Kazmi, S.M., Networks and Blockchain Lab, Innopolis University, Innopolis, Russian Federation; Hussain, R., Networks and Blockchain Lab, Innopolis University, Innopolis, Russian Federation; Oracevic, A., Networks and Blockchain Lab, Innopolis University, Innopolis, Russian Federation; Khattak, A.M., College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates",Conference Paper,"Final","",Scopus,2-s2.0-85113818545
"Thapaliya A.","57210745306;","Effect on Brain Activity while Programming with (without) Music",2021,"Proceedings - International Conference on Software Engineering",,,,"93","95",,,"10.1109/ICSE-Companion52605.2021.00044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115696353&doi=10.1109%2fICSE-Companion52605.2021.00044&partnerID=40&md5=a02f4f23f6f051f639753bcf4b74b5b5","Innopolis University, Innopolis, Russian Federation","Thapaliya, A., Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85115696353
"Barba-Franco J.J., Gallegos A., Jaimes-Reátegui R., Gerasimova S.A., Pisarchik A.N.","57218999897;57204150648;8941071700;56779844300;7005864666;","Dynamics of a ring of three unidirectionally coupled Duffing oscillators with time-dependent damping",2021,"EPL","134","3","30005","","",,1,"10.1209/0295-5075/134/30005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111281782&doi=10.1209%2f0295-5075%2f134%2f30005&partnerID=40&md5=2ca4e1de3a9bc46fedcec20fe1abcc06","Departamento de Ciencias Exactas y Tecnología, Centro Universitario de Los Lagos, Universidad de Guadalajara Enrique Díaz de León, 1144, Colonia Paseos de la Montaña, Jalisco, Lagos de Moreno, Mexico; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Campus de Montegancedo, Pozuelo de Alarcón, Madrid, 28223, Spain; Innopolis University, Universitetskaya Str. 1, Innopolis, Tatarstan, 420500, Russian Federation","Barba-Franco, J.J., Departamento de Ciencias Exactas y Tecnología, Centro Universitario de Los Lagos, Universidad de Guadalajara Enrique Díaz de León, 1144, Colonia Paseos de la Montaña, Jalisco, Lagos de Moreno, Mexico; Gallegos, A., Departamento de Ciencias Exactas y Tecnología, Centro Universitario de Los Lagos, Universidad de Guadalajara Enrique Díaz de León, 1144, Colonia Paseos de la Montaña, Jalisco, Lagos de Moreno, Mexico; Jaimes-Reátegui, R., Departamento de Ciencias Exactas y Tecnología, Centro Universitario de Los Lagos, Universidad de Guadalajara Enrique Díaz de León, 1144, Colonia Paseos de la Montaña, Jalisco, Lagos de Moreno, Mexico; Gerasimova, S.A., Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Pisarchik, A.N., Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation, Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Campus de Montegancedo, Pozuelo de Alarcón, Madrid, 28223, Spain, Innopolis University, Universitetskaya Str. 1, Innopolis, Tatarstan, 420500, Russian Federation",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85111281782
"Kurkin S., Badarin A., Grubov V., Maksimenko V., Hramov A.","35334432000;56359138000;54787609400;56572360300;6603156741;","The oxygen saturation in the primary motor cortex during a single hand movement: functional near-infrared spectroscopy (fNIRS) study",2021,"European Physical Journal Plus","136","5","548","","",,11,"10.1140/epjp/s13360-021-01516-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106002407&doi=10.1140%2fepjp%2fs13360-021-01516-7&partnerID=40&md5=a4be9df2b790457aa851be10c33dca7d","Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Universitetskaya Str. 1, Innopolis, 420500, Russian Federation; Immanuel Kant Baltic Federal University, Nevskogo Str. 14 A, Kaliningrad, 236016, Russian Federation; Saratov State Medical University, Bolshaya Kazachya Str. 112, Saratov, 410012, Russian Federation","Kurkin, S., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Universitetskaya Str. 1, Innopolis, 420500, Russian Federation, Immanuel Kant Baltic Federal University, Nevskogo Str. 14 A, Kaliningrad, 236016, Russian Federation; Badarin, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Universitetskaya Str. 1, Innopolis, 420500, Russian Federation, Immanuel Kant Baltic Federal University, Nevskogo Str. 14 A, Kaliningrad, 236016, Russian Federation; Grubov, V., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Universitetskaya Str. 1, Innopolis, 420500, Russian Federation, Immanuel Kant Baltic Federal University, Nevskogo Str. 14 A, Kaliningrad, 236016, Russian Federation; Maksimenko, V., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Universitetskaya Str. 1, Innopolis, 420500, Russian Federation, Immanuel Kant Baltic Federal University, Nevskogo Str. 14 A, Kaliningrad, 236016, Russian Federation, Saratov State Medical University, Bolshaya Kazachya Str. 112, Saratov, 410012, Russian Federation; Hramov, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Universitetskaya Str. 1, Innopolis, 420500, Russian Federation, Immanuel Kant Baltic Federal University, Nevskogo Str. 14 A, Kaliningrad, 236016, Russian Federation, Saratov State Medical University, Bolshaya Kazachya Str. 112, Saratov, 410012, Russian Federation",Article,"Final","",Scopus,2-s2.0-85106002407
"Tolkachev A., Sirazitdinov I., Kholiavchenko M., Mustafaev T., Ibragimov B.","57220022454;57202919950;57210322274;57210314945;40761505000;","Deep Learning for Diagnosis and Segmentation of Pneumothorax: The Results on the Kaggle Competition and Validation against Radiologists",2021,"IEEE Journal of Biomedical and Health Informatics","25","5","9201034","1660","1672",,10,"10.1109/JBHI.2020.3023476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105790602&doi=10.1109%2fJBHI.2020.3023476&partnerID=40&md5=f2e736f78a1abcd7bd2f0743b49d6968","Innopolis University, Innopolis, Russian Federation; Public Hospital #2, Department of Radiology, Kazan, Russian Federation; Department of Computer Science, University of Copenhagen, Copenhagen, Denmark","Tolkachev, A., Innopolis University, Innopolis, Russian Federation; Sirazitdinov, I., Innopolis University, Innopolis, Russian Federation; Kholiavchenko, M., Innopolis University, Innopolis, Russian Federation; Mustafaev, T., Public Hospital #2, Department of Radiology, Kazan, Russian Federation; Ibragimov, B., Department of Computer Science, University of Copenhagen, Copenhagen, Denmark",Article,"Final","",Scopus,2-s2.0-85105790602
"Hussain R., Lee J., Zeadally S.","35324500900;50262320700;7003472739;","Trust in vanet: A survey of current solutions and future research opportunities",2021,"IEEE Transactions on Intelligent Transportation Systems","22","5","9025055","2553","2571",,31,"10.1109/TITS.2020.2973715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105566777&doi=10.1109%2fTITS.2020.2973715&partnerID=40&md5=56d3aa6881b1937e55c2a25db7c81efe","Networks and Blockchain Lab, Institute of Information Security and Cyber-Physical Systems, Innopolis University, Innopolis, 420500, Russian Federation; College of Engineering and Computer Science, Australian National University, Canberra, ACT  0200, Australia; College of Communication and Information, University of Kentucky, Lexington, KY  40506, United States","Hussain, R., Networks and Blockchain Lab, Institute of Information Security and Cyber-Physical Systems, Innopolis University, Innopolis, 420500, Russian Federation; Lee, J., College of Engineering and Computer Science, Australian National University, Canberra, ACT  0200, Australia; Zeadally, S., College of Communication and Information, University of Kentucky, Lexington, KY  40506, United States",Article,"Final","",Scopus,2-s2.0-85105566777
